timestamp,recipe_id,input_text,output_data,model,success,error_message,response_time_ms,estimated_cost,input_tokens,output_tokens,total_tokens,cache_hit
2025-05-24T02:31:58.881456,,320g Arborio rice,"{""name"": ""Arborio rice"", ""unit"": ""g"", ""modifiers"": """", ""category"": ""Grains & Bakery"", ""synonym_of"": """", ""plural"": """"}",openai/chatgpt-4o-latest,True,,1392.2579288482666,0.003,0,0,0,False
2025-05-24T02:31:59.766892,,"300g mixed mushrooms (porcini, cremini, shiitake)","{""name"": ""mushrooms"", ""unit"": ""g"", ""modifiers"": ""mixed (porcini, cremini, shiitake)"", ""category"": ""Vegetables"", ""synonym_of"": """", ""plural"": ""mushroom""}",openai/chatgpt-4o-latest,True,,880.6390762329102,0.003,0,0,0,False
2025-05-24T02:32:01.007865,,150ml dry white wine,"{""name"": ""white wine"", ""unit"": ""ml"", ""modifiers"": ""dry"", ""category"": ""Other"", ""synonym_of"": ""wine"", ""plural"": """"}",openai/chatgpt-4o-latest,True,,1234.2281341552734,0.003,0,0,0,False
2025-05-24T02:32:01.762013,,"chicken stock, warm","{""name"": ""chicken stock"", ""unit"": """", ""modifiers"": ""warm"", ""category"": ""Meat & Seafood"", ""synonym_of"": ""broth"", ""plural"": """"}",openai/chatgpt-4o-latest,True,,749.3007183074951,0.003,0,0,0,False
2025-05-24T02:32:02.387686,,"60g Parmesan cheese, grated","{""name"": ""Parmesan cheese"", ""unit"": ""g"", ""modifiers"": ""grated"", ""category"": ""Dairy"", ""synonym_of"": ""Parmigiano-Reggiano"", ""plural"": """"}",openai/chatgpt-4o-latest,True,,621.0849285125732,0.003,0,0,0,False
2025-05-24T02:32:03.236899,,2 tbsp olive oil,"{""name"": ""olive oil"", ""unit"": ""tbsp"", ""modifiers"": """", ""category"": ""Condiments & Spices"", ""synonym_of"": """", ""plural"": """"}",openai/chatgpt-4o-latest,True,,844.5956707000732,0.003,0,0,0,False
2025-05-24T02:32:04.009045,,"2 tbsp fresh parsley, chopped","{""name"": ""parsley"", ""unit"": ""tbsp"", ""modifiers"": ""fresh, chopped"", ""category"": ""Vegetables"", ""synonym_of"": """", ""plural"": """"}",openai/chatgpt-4o-latest,True,,765.4969692230225,0.003,0,0,0,False
2025-05-24T02:32:04.728306,,black pepper to taste,"{""name"": ""black pepper"", ""unit"": """", ""modifiers"": ""to taste"", ""category"": ""Condiments & Spices"", ""synonym_of"": ""pepper"", ""plural"": """"}",openai/chatgpt-4o-latest,True,,708.0416679382324,0.003,0,0,0,False
2025-05-24T02:32:05.382949,,12 corn tortillas,"{""name"": ""corn tortilla"", ""unit"": """", ""modifiers"": """", ""category"": ""Grains & Bakery"", ""synonym_of"": """", ""plural"": ""corn tortillas""}",openai/chatgpt-4o-latest,True,,649.0392684936523,0.003,0,0,0,False
2025-05-24T02:32:06.956503,,2 cups enchilada sauce,"{""name"": ""enchilada sauce"", ""unit"": ""cups"", ""modifiers"": """", ""category"": ""Condiments & Spices"", ""synonym_of"": """", ""plural"": """"}",openai/chatgpt-4o-latest,True,,1568.9706802368164,0.003,0,0,0,False
2025-05-24T02:32:07.778449,,"1 cup Mexican blend cheese, shredded","{""name"": ""Mexican blend cheese"", ""unit"": ""cup"", ""modifiers"": ""shredded"", ""category"": ""Dairy"", ""synonym_of"": """", ""plural"": """"}",openai/chatgpt-4o-latest,True,,814.9902820587158,0.003,0,0,0,False
2025-05-24T02:32:08.673791,,"1 bell pepper, diced","{""name"": ""bell pepper"", ""unit"": """", ""modifiers"": ""diced"", ""category"": ""Vegetables"", ""synonym_of"": ""capsicum"", ""plural"": ""bell peppers""}",openai/chatgpt-4o-latest,True,,889.4751071929932,0.003,0,0,0,False
2025-05-24T02:32:09.415539,,1 tbsp vegetable oil,"{""name"": ""vegetable oil"", ""unit"": ""tbsp"", ""modifiers"": """", ""category"": ""Condiments & Spices"", ""synonym_of"": ""cooking oil"", ""plural"": """"}",openai/chatgpt-4o-latest,True,,737.7927303314209,0.003,0,0,0,False
2025-05-24T02:32:10.161491,,1 tsp ground cumin,"{""name"": ""cumin"", ""unit"": ""tsp"", ""modifiers"": ""ground"", ""category"": ""Condiments & Spices"", ""synonym_of"": """", ""plural"": """"}",openai/chatgpt-4o-latest,True,,741.7757511138916,0.003,0,0,0,False
2025-05-24T02:32:10.792918,,1 tsp dried oregano,"{""name"": ""oregano"", ""unit"": ""tsp"", ""modifiers"": ""dried"", ""category"": ""Condiments & Spices"", ""synonym_of"": """", ""plural"": """"}",openai/chatgpt-4o-latest,True,,626.1682510375977,0.003,0,0,0,False
2025-05-24T02:32:11.404415,,"For garnish: cilantro, sour cream, avocado slices","{""name"": ""cilantro"", ""unit"": """", ""modifiers"": """", ""category"": ""Condiments & Spices"", ""synonym_of"": ""coriander leaves"", ""plural"": """"}",openai/chatgpt-4o-latest,True,,601.1292934417725,0.003,0,0,0,False
2025-05-24T02:32:11.408712,,"For garnish: cilantro, sour cream, avocado slices","{""name"": ""cilantro"", ""unit"": """", ""modifiers"": """", ""category"": ""Condiments & Spices"", ""synonym_of"": ""coriander leaves"", ""plural"": """"}",openai/chatgpt-4o-latest,True,,0.0,0.0,0,0,0,True
2025-05-24T02:32:11.411482,,"For garnish: cilantro, sour cream, avocado slices","{""name"": ""cilantro"", ""unit"": """", ""modifiers"": """", ""category"": ""Condiments & Spices"", ""synonym_of"": ""coriander leaves"", ""plural"": """"}",openai/chatgpt-4o-latest,True,,0.0,0.0,0,0,0,True
