timestamp,recipe_id,input_text,output_data,model,success,error_message,response_time_ms,estimated_cost,input_tokens,output_tokens,total_tokens,cache_hit
2025-05-24T03:24:39.876266,,"600g chicken thighs, sliced","{""raw_text"": ""600g chicken thighs, sliced"", ""quantity"": ""600"", ""unit"": ""g"", ""name"": ""chicken thighs"", ""modifiers"": ""sliced"", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1368.3834075927734,0.002,0,0,0,False
2025-05-24T03:24:40.895317,,400ml coconut milk,"{""raw_text"": ""400ml coconut milk"", ""quantity"": ""400"", ""unit"": ""ml"", ""name"": ""coconut milk"", ""modifiers"": """", ""canonical"": ""coconut milk""}",openai/chatgpt-4o-latest,True,,1017.1267986297607,0.002,0,0,0,False
2025-05-24T03:24:42.000955,,4 tbsp green curry paste,"{""raw_text"": ""4 tbsp green curry paste"", ""quantity"": ""4"", ""unit"": ""tbsp"", ""name"": ""curry paste"", ""modifiers"": ""green"", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1097.2206592559814,0.002,0,0,0,False
2025-05-24T03:24:49.087951,,"2 Thai eggplants, quartered","{""raw_text"": ""2 Thai eggplants, quartered"", ""quantity"": ""2"", ""unit"": """", ""name"": ""Thai eggplants"", ""modifiers"": ""quartered"", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,7085.837125778198,0.002,0,0,0,False
2025-05-24T03:24:50.120273,,"1 red bell pepper, sliced","{""raw_text"": ""1 red bell pepper, sliced"", ""quantity"": ""1"", ""unit"": """", ""name"": ""red bell pepper"", ""modifiers"": ""sliced"", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1030.4834842681885,0.002,0,0,0,False
2025-05-24T03:24:51.168542,,"100g green beans, trimmed","{""raw_text"": ""100g green beans, trimmed"", ""quantity"": ""100"", ""unit"": ""g"", ""name"": ""green beans"", ""modifiers"": ""trimmed"", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1046.217918395996,0.002,0,0,0,False
2025-05-24T03:24:52.392465,,4 kaffir lime leaves,"{""raw_text"": ""4 kaffir lime leaves"", ""quantity"": ""4"", ""unit"": """", ""name"": ""lime leaves"", ""modifiers"": ""kaffir"", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1221.3785648345947,0.002,0,0,0,False
2025-05-24T03:24:53.496416,,2 tbsp fish sauce,"{""raw_text"": ""2 tbsp fish sauce"", ""quantity"": ""2"", ""unit"": ""tbsp"", ""name"": ""fish sauce"", ""modifiers"": """", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1100.6951332092285,0.002,0,0,0,False
2025-05-24T03:24:54.518192,,1 tbsp palm sugar,"{""raw_text"": ""1 tbsp palm sugar"", ""quantity"": ""1"", ""unit"": ""tbsp"", ""name"": ""palm sugar"", ""modifiers"": """", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1018.5360908508301,0.002,0,0,0,False
2025-05-24T03:24:55.624938,,1 handful Thai basil leaves,"{""raw_text"": ""1 handful Thai basil leaves"", ""quantity"": ""1"", ""unit"": ""handful"", ""name"": ""basil leaves"", ""modifiers"": ""Thai"", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1103.3470630645752,0.002,0,0,0,False
2025-05-24T03:24:56.740971,,"2 red chilies, sliced (optional)","{""raw_text"": ""2 red chilies, sliced (optional)"", ""quantity"": ""2"", ""unit"": """", ""name"": ""red chilies"", ""modifiers"": ""sliced (optional)"", ""canonical"": """"}",openai/chatgpt-4o-latest,True,,1112.5292778015137,0.002,0,0,0,False
